NACA 4 digit Answer DB20.txt
         c        Lc         t       Cl0      Cla0       Cd0       Cm0      Cma0
   0.00000   4.80856  13.01208   0.00010   0.10840   0.00579  -0.00000   0.00120
   0.91768   2.73512  18.99571   0.09860   0.10990   0.00755  -0.01590   0.00080
   2.91307   5.18175  10.30809   0.39810   0.10730   0.00542  -0.09520   0.00120
   1.23029   1.56330   4.66393   0.12510   0.10770   0.00548  -0.01960  -0.00010
   5.98569   7.95173  19.97330   0.80800   0.07600   0.01253  -0.22650   0.00720
   6.32001   2.88921  19.66437   0.65820   0.09510   0.01076  -0.10760   0.00360
   6.05402   6.91506   8.37558   0.98480   0.11440   0.00701  -0.26350  -0.00040
   5.00417   7.03210  10.91484   0.84530   0.11230   0.00649  -0.22380   0.00040
   1.06463   8.88087  16.48442   0.24670   0.10990   0.00692  -0.06620   0.00080
   3.09208   7.07744   4.46386   0.52470   0.07330   0.00443  -0.14300   0.00820
   3.02823   1.06763  18.60549   0.30430   0.10340   0.00818  -0.02860   0.00230
   0.00000   4.77130   9.03814  -0.00040   0.10340   0.00437   0.00010   0.00260
   0.00000   4.06777   5.24679   0.00160   0.12520   0.00368  -0.00040  -0.00300
   3.09276   4.02557  12.43916   0.37580   0.10310   0.00629  -0.08030   0.00220
   5.00000   8.00000   8.00000   0.74780   0.21870   0.01604  -0.22050  -0.02070
   4.02225   4.98205  14.00814   0.53620   0.10980   0.00668  -0.12340   0.00060
   0.00000   4.69715  16.00103   0.00020   0.10950   0.00671  -0.00000   0.00090
   0.95754   0.87985  12.66246   0.09380   0.10830   0.00581  -0.00960   0.00120
   1.94148   6.97191  12.39393   0.33980   0.09910   0.00525  -0.08810   0.00340
   5.00725   2.99987   6.14968   0.54120   0.10860   0.00761  -0.10740   0.00000
   3.02964   2.91522   5.50915   0.33350   0.10120   0.00617  -0.06550   0.00110
   8.97707   4.08255  19.94361   0.94210   0.09810   0.01166  -0.18910   0.00210
   0.00000   4.52362  11.74774   0.00000   0.10750   0.00537  -0.00000   0.00140
   2.03097   6.97371  10.91904   0.35470   0.10690   0.00499  -0.09290   0.00190
   9.04333   2.99652  13.16479   0.95150   0.10160   0.01122  -0.17540   0.00200
   5.29265   7.26571   2.63276   0.87410   0.01880   0.00594  -0.24320   0.01940
   7.93861   3.99690  10.18384   0.92090   0.10660   0.00829  -0.19880   0.00060
   7.93586   3.02558  15.03490   0.84540   0.10610   0.01084  -0.15290   0.00120
   0.98005   7.11452  12.10076   0.17270   0.10500   0.00534  -0.04510   0.00190
   6.04067   3.04274   7.02114   0.65090   0.10870   0.00821  -0.12910   0.00010
   8.96256   2.95771  10.87133   0.94530   0.10720   0.01084  -0.17810   0.00070
   5.92250   2.04469  18.00066   0.60840   0.10040   0.01123  -0.08440   0.00250
   5.95306   1.96533  11.83045   0.60800   0.11050   0.01075  -0.09460   0.00060
   4.19349   8.10986  14.57044   0.67490   0.12820   0.01006  -0.18940  -0.00170
   6.95949   1.98888  17.44892   0.69650   0.10220   0.01223  -0.09640   0.00240
   5.81120   7.28197   4.17621   0.97500  -0.03570   0.00550  -0.26910   0.03290
   2.85448   5.08020   9.88119   0.38500   0.10280   0.00531  -0.09170   0.00240
   6.91494   3.97985  10.83830   0.81120   0.10780   0.00799  -0.17400   0.00060
   6.30867   7.36727   5.77418   1.06260   0.04830   0.00747  -0.29350   0.01630
   8.00000   6.01051  19.73851   1.09670   0.08820   0.00853  -0.26570   0.00480
   2.98547   2.87163   6.31153   0.32950   0.10430   0.00622  -0.06410   0.00080
   0.95060   5.14458  11.85948   0.13080   0.10700   0.00546  -0.03090   0.00150
   3.65198   6.05177   2.53838   0.52120   0.10380   0.00527  -0.13680   0.00000
   1.99272   1.92838  12.16698   0.20650   0.10420   0.00593  -0.03160   0.00230
   5.09653   2.97236  11.38267   0.56330   0.10920   0.00852  -0.10590   0.00040
   0.00000   4.60015  19.08348   0.00000   0.10980   0.00754  -0.00000   0.00090
   3.01254   1.96875  16.11422   0.31630   0.10530   0.00734  -0.04520   0.00170
   5.04461   5.80339   5.26369   0.70700   0.10430   0.00512  -0.18100   0.00100
   0.98118   4.92872   9.18352   0.12990   0.10030   0.00449  -0.03080   0.00350
   0.96878   3.16893  11.80918   0.10890   0.10680   0.00546  -0.02110   0.00160
   7.75166   5.90086  15.20364   1.11260   0.10420   0.00756  -0.27250   0.00140
   8.93965   5.03442  18.74339   1.07040   0.09610   0.00966  -0.24160   0.00270
   4.91362   7.31586   2.77817   0.82920   0.02550   0.00585  -0.23120   0.01830
   8.97603   4.05508   6.08062   1.02480   0.10650   0.00783  -0.22890   0.00010
   1.02593   4.94314  18.07856   0.13670   0.10890   0.00731  -0.03050   0.00110
   2.95416   7.13940  14.73711   0.51840   0.08480   0.00576  -0.13430   0.00660
   3.95039   5.97518   5.62026   0.57310   0.10210   0.00475  -0.14780   0.00200
   1.92339   3.04401   5.18747   0.21380   0.10580   0.00424  -0.04350   0.00120
   3.01629   2.08082  12.79361   0.31830   0.10150   0.00679  -0.05020   0.00260
   0.98182   3.83369  15.02249   0.11710   0.10890   0.00648  -0.02400   0.00110
   0.00000   4.61219  19.98716  -0.00010   0.10940   0.00778   0.00000   0.00100
   0.00000   4.21086   8.05591   0.00010   0.09940   0.00397  -0.00000   0.00370
   4.09775   6.90169  14.96848   0.68760   0.10280   0.00613  -0.17690   0.00270
   2.90277   7.96457  19.80180   0.44010   0.10320   0.00820  -0.12000   0.00200
   3.00807   4.10049  11.99873   0.36740   0.10190   0.00609  -0.07940   0.00250
   9.06712   3.97528  10.90302   1.03480   0.10380   0.00910  -0.22160   0.00110
   5.02254   2.93906  19.46614   0.53830   0.09990   0.00932  -0.08990   0.00240
   5.00259   3.05571  15.37685   0.55830   0.10320   0.00903  -0.10130   0.00130
   5.95421   3.86868   9.98679   0.69680   0.10890   0.00752  -0.14860   0.00020
   2.05402   6.87164  13.92968   0.35020   0.09760   0.00567  -0.08990   0.00360
   3.03513   7.97077   5.97305   0.59600   0.07370   0.00517  -0.16590   0.00930
   2.94133   8.21085   9.34765   0.55240   0.10990   0.00759  -0.15570   0.00190
   0.00000   5.03272   9.99399  -0.00000   0.10430   0.00475   0.00000   0.00220
   4.09234   2.05329  14.06524   0.43700   0.09750   0.00926  -0.06640   0.00220
   3.00581   8.84173  17.92699   0.51880   0.11500   0.00860  -0.14570  -0.00040
   3.93353   1.01365  19.11493   0.40870   0.09490   0.01113  -0.03810   0.00380
   4.00012   1.06543  15.49495   0.40610   0.10050   0.01108  -0.04380   0.00260
   1.00119   0.97302  13.03187   0.09970   0.10850   0.00594  -0.01070   0.00120
   1.06381   4.11234   6.78488   0.12470   0.13070   0.00358  -0.02770  -0.00410
   6.97336   7.13507   4.39232   1.12770  -0.07810   0.00603  -0.30990   0.04290
   1.91712   5.09508  13.99468   0.26260   0.10910   0.00624  -0.06090   0.00090
   4.07895   6.03100  12.18557   0.61540   0.11170   0.00582  -0.15360   0.00040
   3.95760   6.02377  12.05020   0.59620   0.11190   0.00577  -0.14890   0.00040
   5.98554   8.01061  14.08807   0.81320   0.14380   0.01903  -0.23750  -0.00580
   1.01248   7.80556   7.22170   0.20780   0.09850   0.00415  -0.05720   0.00430
   6.06737   7.03043   5.97998   0.99370   0.09660   0.00632  -0.26980   0.00420
   6.55493   9.01265  18.33505   0.78680   0.11820   0.01775  -0.24050  -0.00120
   0.99352   1.92579  20.02901   0.10210   0.10980   0.00782  -0.01280   0.00090
   2.92234   4.04164  14.77673   0.35660   0.10730   0.00688  -0.07480   0.00120
   1.00649   8.10243   7.61438   0.21680   0.10380   0.00424  -0.06000   0.00310
   9.12821   2.89766  13.63756   0.95070   0.10450   0.01154  -0.17140   0.00150
   0.00000   3.99988   4.89635  -0.00110   0.12400   0.00366   0.00030  -0.00300
   3.45966   1.19239  10.93445   0.35290   0.10550   0.00948  -0.04520   0.00120
   2.95016   2.96828  11.26328   0.32660   0.10030   0.00598  -0.06200   0.00350
   0.00000   4.56151  19.97310   0.00010   0.10920   0.00778  -0.00000   0.00100
   2.05469   1.99763  10.67661   0.21180   0.10060   0.00559  -0.03380   0.00330
   3.90231   7.10295  19.44344   0.56830   0.08470   0.00769  -0.14780   0.00590
   2.78451   3.90912   7.07853   0.32970   0.11140   0.00449  -0.07280   0.00050
   2.98935   6.09342  10.98402   0.45760   0.11090   0.00535  -0.11520   0.00070
   1.96849   3.95806  17.90201   0.23580   0.10850   0.00744  -0.04760   0.00110
   7.01901   2.00659  12.07834   0.71080   0.10960   0.01150  -0.11110   0.00090
   7.08214   3.08962   7.68367   0.76190   0.10980   0.00896  -0.15130   0.00000
   4.95307   4.00123  14.79793   0.59340   0.10760   0.00797  -0.12350   0.00070
   0.00000   4.45517  11.84710   0.00030   0.10740   0.00544  -0.00010   0.00150
   0.00000   4.97757  10.12042  -0.00030   0.10530   0.00480   0.00010   0.00200
   0.00000   4.47285  12.03163   0.00010   0.10780   0.00548  -0.00000   0.00130
   3.05647   1.09063  18.86024   0.30990   0.10440   0.00808  -0.02930   0.00200
   0.83234   1.24974  19.11668   0.08400   0.11010   0.00759  -0.00820   0.00090
   4.83946   6.95267   5.80462   0.79680   0.10100   0.00539  -0.21540   0.00310
   0.91041   7.64122  14.64355   0.16770   0.10790   0.00629  -0.04430   0.00120
   1.98333   1.98016  17.86113   0.20710   0.10850   0.00739  -0.02830   0.00120
   0.00000   4.74333  10.98569  -0.00000   0.10640   0.00513   0.00000   0.00160
   7.94291   4.00259   8.48038   0.91880   0.10690   0.00787  -0.20100   0.00050
   9.01505   5.96243  17.95482   1.25060   0.08610   0.00864  -0.30450   0.00510
   2.02139   5.91194  18.13833   0.29290   0.10600   0.00717  -0.07040   0.00170
   4.12035   2.07743  14.11180   0.44110   0.09830   0.00929  -0.06740   0.00200
   8.00308   6.01258   8.84251   1.15040   0.11140   0.00681  -0.29350  -0.00060
   8.07288   6.00642  19.81706   1.10480   0.08490   0.00859  -0.26750   0.00540
   8.97215   4.94035  13.15914   1.12910   0.10190   0.00818  -0.26100   0.00170
   8.02843   5.00243  15.16085   1.02240   0.10140   0.00816  -0.23450   0.00200
   0.97422   6.00404  14.86925   0.14620   0.10830   0.00631  -0.03580   0.00120
   5.89625   6.82889  20.01966   0.86940   0.04720   0.00784  -0.22140   0.01390
   4.89479   4.97793   5.81325   0.62860   0.10280   0.00553  -0.15200   0.00130
   8.00480   3.01058  13.18100   0.85570   0.10760   0.01054  -0.15820   0.00090
   9.29315   8.43467  12.67610   0.89820   0.14690   0.04427  -0.29260  -0.00790
   5.03555   6.93447   5.62993   0.82310   0.06570   0.00530  -0.22240   0.01120
   2.94131   4.03108   7.24885   0.34880   0.11420   0.00429  -0.07770  -0.00020
   8.16772   2.06958  15.03793   0.81490   0.10560   0.01260  -0.12180   0.00170
   0.00000   4.81277  11.03623   0.00000   0.10650   0.00511  -0.00000   0.00160
   5.83251   7.22483   4.09803   0.97200  -0.03080   0.00564  -0.26800   0.03180
   7.08125   6.08546  16.86202   1.03920   0.09680   0.00752  -0.25520   0.00330
   6.84792   4.00690  11.11647   0.80630   0.10780   0.00798  -0.17300   0.00050
   4.09742   3.99202   8.88312   0.49110   0.10610   0.00615  -0.10720   0.00110
   6.87283   4.00358   4.58405   0.78560   0.10460   0.00699  -0.17620   0.00040
   9.06059   4.93487  15.70764   1.10980   0.09680   0.00882  -0.25250   0.00260
   0.93014   3.87457   7.83563   0.10680   0.11740   0.00394  -0.02310  -0.00040
   3.07010   2.89772   5.50011   0.33710   0.10240   0.00625  -0.06610   0.00090
   6.01898   5.02122  14.95635   0.79020   0.10770   0.00739  -0.18150   0.00090
   9.00155   4.93671   7.11238   1.12520   0.10870   0.00699  -0.26960  -0.00040
   3.88527   3.05738  17.20546   0.43220   0.10630   0.00792  -0.07690   0.00140
   0.00000   4.16967   7.95187   0.00000   0.09920   0.00392  -0.00000   0.00380
   4.94234   5.96763   9.57588   0.72820   0.11210   0.00567  -0.18400   0.00000
   9.02747   2.96445  15.24769   0.93420   0.09320   0.01166  -0.16640   0.00380
   7.96522   5.98811  11.13306   1.15050   0.11150   0.00708  -0.28950  -0.00040
   1.16859   3.18112   5.87585   0.12730   0.12040   0.00349  -0.02570  -0.00220
   5.02406   7.57385   4.31831   0.86350   0.02150   0.00591  -0.24040   0.01900
   5.96202   4.97757   6.13189   0.76310   0.10400   0.00575  -0.18440   0.00090
   8.85891   6.17045   5.30321   1.25430   0.11070   0.00662  -0.32890  -0.00150
   5.99714   7.11208   6.50082   0.99330   0.09890   0.00648  -0.26990   0.00360
   7.83741   5.96827  14.09432   1.13370   0.10810   0.00744  -0.28060   0.00060
   8.99101   3.97270  13.94374   1.01470   0.09420   0.00979  -0.21180   0.00340
   2.22726   7.82766  14.22212   0.42380   0.09460   0.00600  -0.11270   0.00410
   3.08356   3.97859  19.26166   0.36500   0.10670   0.00811  -0.07270   0.00130
   9.02508   3.77856  15.66244   0.97830   0.10030   0.01045  -0.19600   0.00200
   3.86783   9.44545  10.23308   0.52930   0.25660   0.01679  -0.16690  -0.03190
   2.00000   7.00000   1.00000   0.30430   0.10140   0.00523  -0.08620   0.00040
   4.03546   7.61484  13.46913   0.72410   0.07660   0.00670  -0.19410   0.00890
   5.72882   7.25697   4.29411   0.96330  -0.03040   0.00571  -0.26560   0.03190
   5.88923   6.89161  14.49483   0.96780   0.10420   0.00709  -0.25070   0.00210
   3.97558   5.00219  19.45322   0.51640   0.10480   0.00793  -0.11490   0.00180
   1.03637   3.81277   6.99941   0.11750   0.13620   0.00368  -0.02540  -0.00510
   1.01840   1.68813  16.56347   0.10480   0.11010   0.00688  -0.01350   0.00090
   1.07039   8.85424  17.71435   0.23690   0.10990   0.00727  -0.06370   0.00080
   0.00000   3.94419   5.16109   0.00130   0.12500   0.00359  -0.00040  -0.00280
   9.00053   4.98598  14.10346   1.13310   0.09840   0.00836  -0.26140   0.00240
   3.89084   1.11667  15.84539   0.40420   0.10070   0.01036  -0.04420   0.00240
   2.04288   0.94430  12.90757   0.20620   0.10410   0.00659  -0.02260   0.00210
   4.99127   5.04457  17.24039   0.65740   0.10590   0.00759  -0.14900   0.00150
   1.01651   8.06866   7.98733   0.21760   0.09940   0.00427  -0.06000   0.00400
   2.73836   4.09396   4.91955   0.32750   0.10220   0.00486  -0.07420   0.00170
   0.97752   8.16869   8.02293   0.21380   0.10280   0.00425  -0.05900   0.00320
   5.02162   5.00667  17.19341   0.65770   0.10620   0.00763  -0.14860   0.00140
   3.77885   6.84054   4.57273   0.61370   0.07100   0.00470  -0.16580   0.00890
   0.60004   6.61632   2.62459   0.09080   0.10830   0.00733  -0.02370  -0.00140
   5.03856   3.96000   5.50221   0.58830   0.10640   0.00615  -0.13070   0.00030
   1.93200   9.07917  18.95885   0.37420   0.11760   0.00791  -0.10330  -0.00090
   8.04597   4.99904  13.00249   1.03250   0.10610   0.00770  -0.23990   0.00090
   4.95632   5.03258  17.10912   0.65280   0.10660   0.00757  -0.14790   0.00130
   4.29701   1.76405  19.56841   0.44100   0.09940   0.00873  -0.05390   0.00280
   5.03434   5.02831   8.91650   0.66240   0.11060   0.00584  -0.15810   0.00000
   6.00000   1.00000   8.00000   0.56200   0.11670   0.02359  -0.07790   0.00190
   1.04828   8.84840  14.04340   0.25290   0.10770   0.00622  -0.06820   0.00130
   4.99632   7.99391  19.93966   0.69320   0.08870   0.01079  -0.19360   0.00480
   3.87811   6.87547   8.87176   0.64940   0.10990   0.00544  -0.17210   0.00100
   0.00000   4.84605  13.13862  -0.00000   0.10860   0.00583   0.00000   0.00110
   0.00000   4.64603   8.95576   0.00000   0.10220   0.00434  -0.00000   0.00290
   1.96049   5.78345   7.28579   0.28710   0.10750   0.00429  -0.07280   0.00180
   0.00000   4.81589  10.75941   0.00030   0.10610   0.00504  -0.00010   0.00180
   5.90775   6.01559  14.13032   0.87700   0.10990   0.00666  -0.21700   0.00060
   6.50402   7.08513   1.77321   1.01800   0.09500   0.00594  -0.28400   0.00190
   2.94152   9.01793  16.06455   0.54200   0.11690   0.00826  -0.15270  -0.00080
   2.91592   8.05385   6.17381   0.58000   0.08060   0.00527  -0.16170   0.00790
   2.99092   3.22135  11.77494   0.33970   0.09780   0.00615  -0.06640   0.00380
   1.03725   1.65403  20.10775   0.10580   0.10990   0.00784  -0.01190   0.00090
   8.12684   4.97196  17.56432   0.99580   0.09790   0.00879  -0.22460   0.00260
   1.64189   1.49174  14.51910   0.16820   0.10770   0.00649  -0.02150   0.00140
   8.94740   5.04610  14.15025   1.13520   0.09880   0.00829  -0.26320   0.00240
   2.09718   8.13739  14.78127   0.41010   0.09950   0.00641  -0.11010   0.00310
   1.05415   1.82497  15.91904   0.10990   0.10950   0.00671  -0.01510   0.00100
   4.28482   2.16200  14.07356   0.45960   0.10010   0.00935  -0.07170   0.00170
   6.41522   7.14966   4.91321   1.05490   0.01720   0.00653  -0.28960   0.02280
   3.85780   4.87867  19.70880   0.49280   0.10470   0.00805  -0.10820   0.00180
   8.09968   5.91719   9.00603   1.15020   0.11170   0.00682  -0.29160  -0.00070
   2.94266   3.96525   5.64541   0.35100   0.10100   0.00508  -0.07830   0.00210
   2.03353   7.00896  18.84922   0.31940   0.10300   0.00745  -0.08170   0.00220
   2.92611   8.97991  16.85961   0.52840   0.11710   0.00839  -0.14870  -0.00080
   6.90293   1.96560  17.69481   0.68890   0.10130   0.01221  -0.09400   0.00250
   7.97366   4.01191   9.21737   0.92410   0.10690   0.00806  -0.20130   0.00050
   2.99730   7.00911  17.96158   0.47640   0.08980   0.00709  -0.12220   0.00510
   9.06395   4.97672  17.00133   1.09800   0.09650   0.00918  -0.24900   0.00270
   1.09249   2.82701   7.05320   0.11310   0.14070   0.00375  -0.02130  -0.00630
   5.99667   3.01067   5.10632   0.63660   0.10810   0.00837  -0.12780   0.00000
   4.15870   4.00583   4.52523   0.48390   0.10690   0.00625  -0.10820  -0.00020
   0.00000   4.66178  13.97658  -0.00000   0.10890   0.00609   0.00000   0.00110
   4.01834   4.93464  19.44130   0.51730   0.10530   0.00799  -0.11440   0.00170
   0.00000   4.35757  12.96704   0.00000   0.10810   0.00578  -0.00000   0.00120
   2.98946   7.05815   4.20128   0.50390   0.06490   0.00442  -0.13720   0.00900
   0.99222   7.14626   7.51128   0.18200   0.09250   0.00410  -0.04890   0.00530
   0.00000   4.42301  20.01395   0.00000   0.10910   0.00779  -0.00000   0.00100
   0.99325   4.94736  18.04912   0.13390   0.10920   0.00728  -0.02980   0.00090
   0.00000   4.22077   8.04084   0.00030   0.09940   0.00398  -0.00010   0.00370
   3.95699   3.95323   8.90304   0.47300   0.10690   0.00600  -0.10300   0.00110
   1.99669   7.13878  18.11227   0.32200   0.10340   0.00728  -0.08310   0.00220
   5.99153   1.95133  17.76323   0.61120   0.10150   0.01142  -0.08310   0.00240
   0.00000   4.74903  10.97813  -0.00020   0.10680   0.00512   0.00000   0.00160
   1.03998   6.31495  18.05003   0.15550   0.10840   0.00724  -0.03840   0.00120
   0.00000   2.00000  11.00000   0.00010   0.10650   0.00510  -0.00000   0.00160
   8.22855   1.98142  15.45178   0.81480   0.10050   0.01286  -0.11810   0.00270
   3.00910   7.01257  14.83622   0.51770   0.08690   0.00582  -0.13340   0.00610
   2.33139   8.09972   1.78265   0.43620   0.10760   0.00644  -0.12650  -0.00180
   1.97322   2.09345  14.32487   0.20700   0.10750   0.00650  -0.03160   0.00140
   0.00000   3.78617  17.99685  -0.00000   0.10970   0.00724   0.00000   0.00090
   2.99068   3.03260  14.21438   0.33350   0.10580   0.00680  -0.06160   0.00170
   0.00000   4.64913   9.02854  -0.00030   0.10280   0.00440   0.00010   0.00270
   7.96312   4.97662   4.74167   0.99150   0.10730   0.00630  -0.24130  -0.00010
   7.84860   6.02170   8.28789   1.12840   0.11160   0.00668  -0.28890  -0.00060
   4.15852   5.96277   5.22945   0.59910   0.10110   0.00484  -0.15470   0.00210
   2.06548   8.90205  19.69277   0.37440   0.11540   0.00811  -0.10350  -0.00050
   1.05154   3.01287  12.12682   0.11690   0.10760   0.00557  -0.02210   0.00130
   4.99454   4.90861   5.67662   0.63750   0.10200   0.00551  -0.15350   0.00140
   5.95339   4.06186  14.04169   0.71000   0.10810   0.00817  -0.14970   0.00070
   9.05182   4.94728  17.89214   1.08210   0.09670   0.00954  -0.24340   0.00250
   2.01827   4.98567  19.34344   0.26490   0.10850   0.00767  -0.05890   0.00120
   6.97632   5.02391  15.91983   0.90290   0.10370   0.00791  -0.20620   0.00160
   3.95445   2.98275  16.94785   0.43830   0.10470   0.00793  -0.07730   0.00180
   1.20301   4.35646   3.85588   0.14400   0.09910   0.00674  -0.03280   0.00000
   6.09771   2.02790  19.21356   0.61780   0.09490   0.01149  -0.08240   0.00360
   1.00880   2.99010  18.93726   0.11150   0.10970   0.00755  -0.01910   0.00100
   1.98280   2.10399  18.82920   0.20890   0.10830   0.00764  -0.02890   0.00120
   5.06681   8.90009  16.93351   0.74120   0.10760   0.01316  -0.21690   0.00130
   5.00557   5.02779  17.03895   0.65900   0.10650   0.00757  -0.14930   0.00130
   5.06326   4.01293   5.67137   0.59420   0.10980   0.00612  -0.13250  -0.00010
   7.01390   5.92533  13.89402   1.01770   0.10960   0.00705  -0.25120   0.00040
   3.01348   3.99596   4.85304   0.35510   0.10210   0.00552  -0.07940   0.00120
   6.92988   3.94214  19.02689   0.76310   0.10290   0.00985  -0.15090   0.00170
