NACA 4 digit Additional DB20.txt
         c        Lc         t       Cl0      Cla0       Cd0       Cm0      Cma0
   1.02053   2.89593  14.94700   0.11830   0.11530   0.00575  -0.02110   0.00010
   4.84769   7.93881  10.32552   0.94800  -0.02990   0.00414  -0.25720   0.03250
   1.03484   0.96336  12.53527   0.10710   0.11340   0.00548  -0.01200   0.00030
   7.24514   7.97382   6.99221   1.20330  -0.09000   0.00835  -0.34120   0.04550
   1.03475   0.95398   9.85846   0.10580   0.11170   0.00516  -0.01280   0.00040
   1.98735   6.96539  17.04371   0.32950   0.11220   0.00612  -0.08420   0.00080
   4.99166   1.04908  16.14266   0.51000   0.11370   0.01029  -0.05400   0.00120
   0.00000   5.24457   3.00725  -0.00000   0.11040   0.00738   0.00000  -0.00050
   0.00000   4.55835  18.90240  -0.00010   0.11520   0.00639   0.00000   0.00030
   0.00000   4.60432  17.06230  -0.00000   0.11550   0.00604   0.00000   0.00020
   0.00000   4.66414  13.78994   0.00000   0.11500   0.00547  -0.00000   0.00010
   1.03793   0.98271  12.71154   0.10760   0.11370   0.00550  -0.01210   0.00030
   3.03783   6.02846  11.91463   0.46690   0.10730   0.00475  -0.11580   0.00150
   8.10765   1.90748  10.58106   0.84220   0.11530   0.00997  -0.13240   0.00040
   5.96625   4.03359   7.74573   0.71920   0.11380   0.00589  -0.15840  -0.00040
   7.92738   8.06966  19.89770   0.96470   0.10040   0.02124  -0.28040   0.00240
   1.93812   1.77436  18.23878   0.21030   0.11370   0.00653  -0.02690   0.00050
   8.02282   3.09324  20.00795   0.85530   0.10680   0.00953  -0.14440   0.00160
   4.97709   1.04579  16.52543   0.50770   0.11320   0.01040  -0.05290   0.00130
   0.00000   4.63759  19.95058  -0.00000   0.11510   0.00657   0.00000   0.00030
   4.95234   8.99547  14.90623   0.76210   0.12860   0.01325  -0.22360  -0.00300
   3.04879   7.87933  16.62384   0.51870   0.11000   0.00646  -0.13970   0.00110
   0.99366   2.79623   6.60947   0.11190   0.10590   0.00456  -0.02150   0.00080
   4.96536   5.01248   9.49572   0.66880   0.11440   0.00496  -0.15800  -0.00020
   0.00000   4.81203   6.01317   0.00010   0.10650   0.00471  -0.00000   0.00060
   7.00140   2.90015   8.69433   0.77110   0.11490   0.00767  -0.14780  -0.00020
   2.99042   1.91125  19.75501   0.32270   0.11180   0.00712  -0.04130   0.00100
   1.00226   4.05696  18.02958   0.12880   0.11540   0.00629  -0.02610   0.00020
   4.01287   8.03662   4.19001   0.73700   0.11270   0.00856  -0.20950  -0.00070
   4.97022   1.96586  12.25583   0.53240   0.11660   0.00841  -0.08230   0.00000
   0.00000   4.79374  12.04905  -0.00000   0.11440   0.00514   0.00000   0.00010
   1.92031   4.13422   9.00750   0.24070   0.11230   0.00487  -0.05300   0.00010
   1.03838   7.11562   5.19114   0.17690   0.10740   0.00499  -0.04790   0.00000
   0.00000   4.93711   7.90384   0.00000   0.11090   0.00427  -0.00000   0.00030
   1.91579   3.99019   5.77374   0.23090   0.11080   0.00512  -0.05110  -0.00040
   2.99376   8.97507  10.53195   0.62300   0.12810   0.00691  -0.17600  -0.00330
   0.98611   7.02272  20.13006   0.15960   0.11400   0.00662  -0.04050   0.00050
   0.00000   4.70355  14.74448   0.00000   0.11530   0.00563  -0.00000   0.00010
   4.00957   3.91205  15.73936   0.50090   0.11620   0.00661  -0.10190  -0.00010
   1.07146   0.99616  10.12326   0.11000   0.11100   0.00522  -0.01350   0.00030
   9.01509   8.94160  14.59645   0.95630   0.12070   0.03057  -0.30370  -0.00160
   4.93586   1.96793   8.15194   0.51640   0.11570   0.00797  -0.08550  -0.00010
   6.07875   6.95491   5.17291   0.99180   0.01040   0.00444  -0.26760   0.02160
   7.05411   3.08050  19.29780   0.78440   0.09800   0.00889  -0.13430   0.00360
   8.90724   4.95351  10.40686   1.16010   0.11110   0.00593  -0.27190   0.00000
   6.00355   3.83379  16.34982   0.73000   0.11480   0.00734  -0.14620   0.00010
   8.94998   5.03745   6.38009   1.15650   0.10880   0.00526  -0.27950   0.00010
   4.94403   8.05053   5.61664   0.83620   0.09900   0.00846  -0.23930   0.00250
   3.89806   0.92956  19.77745   0.39110   0.11150   0.01094  -0.03250   0.00160
   0.96630   7.09049  20.10031   0.15780   0.11400   0.00660  -0.04020   0.00060
   2.96884   4.96625   8.78676   0.40030   0.11320   0.00464  -0.09450   0.00000
   4.04246   6.99783   4.20874   0.64160   0.10250   0.00701  -0.17570   0.00130
   8.08230   3.21571  17.43600   0.90350   0.10340   0.00897  -0.16290   0.00250
   2.03659   1.12810  13.05102   0.21410   0.11130   0.00634  -0.02540   0.00060
   4.02530   4.92259  10.17445   0.54140   0.11430   0.00502  -0.12640  -0.00010
   0.00000   4.60382  17.00372   0.00000   0.11570   0.00604  -0.00000   0.00010
   0.00000   5.02735   2.91450  -0.00000   0.11020   0.00737   0.00000  -0.00050
   1.05523   7.21223  13.99043   0.18640   0.11420   0.00554  -0.04850   0.00020
   9.25448   2.70255  17.77085   0.96730   0.10490   0.01020  -0.15700   0.00210
   0.99532   3.08341  15.61460   0.11700   0.11560   0.00585  -0.02140   0.00010
   0.00000   4.66198  13.95691   0.00000   0.11520   0.00549  -0.00000   0.00010
   3.93631   6.98033  17.08241   0.60980   0.09750   0.00628  -0.15740   0.00380
   6.95907   6.00184   9.04098   1.03340   0.11480   0.00453  -0.26130  -0.00050
   0.97385   0.99923  12.19610   0.10070   0.11360   0.00540  -0.01160   0.00030
   4.95183   8.03052   4.18846   0.83210   0.11320   0.00986  -0.23980  -0.00090
   7.94481   6.00980  12.44835   1.17600   0.11040   0.00518  -0.29270   0.00050
   1.04917   8.92402  16.22181   0.26110   0.11610   0.00604  -0.06970   0.00000
   8.95656   5.02849  13.85847   1.16340   0.10020   0.00646  -0.26860   0.00260
   3.02805   7.87529  16.75811   0.51390   0.11000   0.00646  -0.13840   0.00120
   5.11700   8.95826   2.31397   0.78870   0.10900   0.00406  -0.23690  -0.00140
   3.90285   1.89162  16.56433   0.42740   0.10700   0.00845  -0.05920   0.00130
   2.97775   2.85949  11.77100   0.34210   0.11170   0.00653  -0.06300   0.00020
   4.91138   4.99724   4.03441   0.62620   0.09180   0.00557  -0.15270   0.00250
   0.00000   4.77161  11.98801   0.00010   0.11420   0.00512  -0.00000   0.00010
   5.97546   2.01342  15.83492   0.64170   0.11540   0.00925  -0.09340   0.00040
   7.00175   5.98854  17.84768   0.99940   0.08120   0.00593  -0.24210   0.00690
   2.01112   8.10467  17.81765   0.37840   0.11360   0.00642  -0.10090   0.00050
   4.91526   8.97187   9.32631   0.81620   0.11310   0.01402  -0.24090   0.00000
   0.98812   6.91239  19.94915   0.15850   0.11410   0.00658  -0.04000   0.00050
   7.10524   8.02473  12.48906   1.22470  -0.07150   0.00808  -0.33850   0.04160
   5.00904   3.97909  16.60231   0.62280   0.11490   0.00693  -0.12670   0.00010
   0.00000   4.80522  12.11958   0.00000   0.11430   0.00516  -0.00000   0.00010
   0.00000   4.56169  17.91900  -0.00000   0.11540   0.00618   0.00000   0.00020
   1.06320   5.77766   9.01918   0.15750   0.11190   0.00445  -0.03910   0.00030
   7.97332   4.04330  11.37328   0.96410   0.11300   0.00699  -0.20670   0.00000
   0.98248   6.89261  14.07950   0.16600   0.11430   0.00552  -0.04270   0.00030
   4.98094   7.77281   2.94796   0.82780   0.10440   0.00973  -0.23660   0.00060
   5.85630   9.02337  12.84941   0.83530   0.12340   0.01785  -0.25080  -0.00210
   5.90813   8.95794  12.52593   0.85510   0.11760   0.01803  -0.25560  -0.00080
   8.97162   1.96686  18.97466   0.88550   0.10320   0.01134  -0.11620   0.00270
   5.03124   5.89770   4.88224   0.72350   0.08460   0.00423  -0.18540   0.00470
   0.00000   5.32111   3.02978   0.00000   0.11030   0.00738  -0.00000  -0.00050
   1.96906   5.90498  11.87227   0.29760   0.11210   0.00500  -0.07330   0.00050
   6.91639   7.96533  12.31873   1.22930  -0.09090   0.00662  -0.33710   0.04600
   8.86267   4.93844   3.91834   1.10390   0.05270   0.00592  -0.26880   0.01070
   4.02834   4.27371   2.98603   0.46730   0.10940   0.00787  -0.10940  -0.00040
   1.99679   6.97278  15.21300   0.33720   0.11230   0.00576  -0.08670   0.00080
   0.95186   1.96704   9.00910   0.10220   0.11180   0.00472  -0.01680   0.00010
   7.12700   3.03405  11.92959   0.80350   0.11590   0.00801  -0.15140  -0.00020
   1.97627   6.11234  20.04659   0.29080   0.11200   0.00660  -0.07010   0.00090
   0.00000   4.59348   8.85225   0.00000   0.11240   0.00446  -0.00000   0.00020
   3.77943   8.97689   5.96282   0.74480   0.13390   0.00966  -0.21730  -0.00510
   3.04602   2.93677   9.73115   0.34750   0.11200   0.00627  -0.06620  -0.00010
   5.70891   1.07967  18.17336   0.57460   0.11100   0.01102  -0.05710   0.00180
   7.96787   4.03183   5.67002   0.93630   0.10950   0.00623  -0.20920   0.00000
   3.07335   6.88913   9.52240   0.53230   0.09230   0.00390  -0.13890   0.00460
   0.00000   4.80381  12.07843   0.00000   0.11420   0.00516  -0.00000   0.00010
   1.00331   5.02736  19.72624   0.13720   0.11500   0.00652  -0.03040   0.00040
   5.90212   8.98545  12.46866   0.85110   0.11790   0.01809  -0.25490  -0.00090
   2.05214   0.71399  18.97868   0.21760   0.10500   0.00978  -0.01680   0.00230
   6.12183   3.08106   8.64924   0.68560   0.11550   0.00719  -0.13480  -0.00030
   0.97617   5.01083   2.10889   0.12090   0.10840   0.00726  -0.03010  -0.00070
   5.91268   3.90347  16.53807   0.72340   0.11500   0.00726  -0.14580   0.00000
   4.95648   3.90184   7.36852   0.59230   0.11380   0.00573  -0.12910  -0.00040
   6.88122   1.16723  19.38492   0.67550   0.10210   0.01183  -0.06610   0.00360
   5.95605   9.04315  14.21925   0.81980   0.12730   0.01771  -0.24700  -0.00290
   0.98937   5.17847  11.02131   0.13850   0.11370   0.00493  -0.03270   0.00010
   2.97832   4.95702   7.25565   0.39760   0.11070   0.00443  -0.09460   0.00010
   1.01677   4.15190  12.25047   0.13020   0.11440   0.00525  -0.02800   0.00000
   8.01598   3.96287  13.21630   0.96490   0.11120   0.00738  -0.20190   0.00040
   5.00659   7.94332   2.77489   0.82690   0.10400   0.01002  -0.23920   0.00050
   6.74505   6.82445  19.70360   0.92200   0.07010   0.00879  -0.23840   0.00860
   8.01324   5.89712  11.72150   1.17100   0.11170   0.00512  -0.29060   0.00010
   4.99048   4.88598  15.54798   0.67220   0.11440   0.00608  -0.15120   0.00010
   7.97601   6.01861  19.09473   1.10710   0.08580   0.00671  -0.26820   0.00560
   2.04239   1.88367  10.27290   0.21960   0.11120   0.00584  -0.03460   0.00030
   6.90621   6.04565   9.33501   1.03310   0.11470   0.00453  -0.26140  -0.00050
   3.90258   2.07630   7.53588   0.41130   0.11470   0.00730  -0.07000  -0.00020
   3.93842   4.05541  16.73707   0.49730   0.11570   0.00665  -0.10190   0.00000
   8.08845   1.98169  15.08878   0.84990   0.11300   0.01004  -0.12480   0.00100
   4.02878   2.87958  16.17038   0.46630   0.11190   0.00753  -0.08120   0.00040
   6.01834   5.97375   3.07666   0.80600   0.10580   0.00895  -0.21260   0.00020
   6.42904   2.05962  14.26807   0.68880   0.11600   0.00914  -0.10480   0.00030
   7.08628   4.03832   4.20505   0.82290   0.11020   0.00633  -0.18590  -0.00030
   0.94354   1.05853  10.99198   0.09750   0.11240   0.00520  -0.01190   0.00030
   0.00000   4.54498  18.87276   0.00000   0.11520   0.00637  -0.00000   0.00030
   0.00000   4.54337  19.03685   0.00000   0.11510   0.00641  -0.00000   0.00030
   5.03555   5.99803   3.27553   0.68420   0.10760   0.00852  -0.18030   0.00000
   1.97759   8.03275   5.11362   0.39480   0.10600   0.00574  -0.11040   0.00070
   7.87544   4.89631  19.83603   0.96830   0.10470   0.00770  -0.21250   0.00170
   6.97980   4.95455   8.34587   0.91730   0.11350   0.00513  -0.21760  -0.00030
   3.96341   8.02470  11.78254   0.71600   0.08690   0.00594  -0.19640   0.00600
   0.00000   4.54286  16.19476   0.00000   0.11560   0.00590  -0.00000   0.00010
   5.94626   7.05232  14.12139   1.03210  -0.01020   0.00455  -0.26720   0.02780
   0.97770   5.02918   9.13971   0.13360   0.11250   0.00455  -0.03160   0.00020
   0.00000   4.15631  10.88095   0.00000   0.11350   0.00491  -0.00000   0.00010
   7.92000   3.99247  13.07463   0.95630   0.11270   0.00733  -0.20110   0.00020
   5.98658   1.93207  19.42154   0.62900   0.11100   0.00999  -0.08150   0.00140
   5.94561   6.04106  13.98871   0.90640   0.10620   0.00498  -0.22340   0.00190
   3.99149   4.90657  19.91665   0.53250   0.11110   0.00667  -0.11640   0.00110
   0.00000   4.56298  18.01033  -0.00000   0.11530   0.00619   0.00000   0.00020
   6.98148   1.97095  14.92056   0.74080   0.11520   0.00958  -0.10890   0.00050
   4.01279   7.00537  16.92856   0.62120   0.09830   0.00628  -0.16080   0.00370
   0.00000   4.27068   9.82746   0.00000   0.11300   0.00468  -0.00000   0.00010
   5.05648   3.99679   4.06796   0.58870   0.10720   0.00602  -0.13260   0.00020
   6.02311   5.94787  14.88850   0.90410   0.10220   0.00521  -0.22070   0.00280
   5.96047   5.92080  13.70352   0.89530   0.10820   0.00501  -0.21940   0.00140
   8.99440   6.91966   6.73381   1.44470   0.03300   0.00480  -0.38870   0.01850
   1.97091   6.06861   2.97589   0.27480   0.10980   0.00754  -0.07270  -0.00040
   0.99598   5.95937  18.05520   0.14930   0.11460   0.00621  -0.03580   0.00030
   9.00118   5.00373  15.04486   1.14920   0.10520   0.00681  -0.26290   0.00140
   0.00000   4.87795   8.03249   0.00000   0.11100   0.00428  -0.00000   0.00030
   0.91677   1.14790  18.86231   0.09770   0.11470   0.00648  -0.00940   0.00030
   5.00343   3.00213   8.70964   0.56170   0.11530   0.00690  -0.10920  -0.00030
   4.82636   8.01015  10.50259   0.93400  -0.01990   0.00447  -0.25450   0.03020
   3.82313   8.73689   4.73702   0.75990   0.12050   0.00951  -0.22040  -0.00200
   2.01303   9.03021  12.96286   0.47560   0.13120   0.00592  -0.13050  -0.00370
   6.94210   5.07393  10.49297   0.93300   0.11420   0.00537  -0.22030  -0.00030
   3.04739   3.98023  16.73756   0.38530   0.11620   0.00648  -0.07830  -0.00010
   0.00000   4.62642  19.90147  -0.00000   0.11500   0.00656   0.00000   0.00030
   1.07655   1.47549  11.06027   0.11320   0.11270   0.00519  -0.01590   0.00030
   5.00567   7.99628   1.98306   0.83670   0.10390   0.00997  -0.24390  -0.00010
